level_0,Platform,Post ID,Post Type,Post Content,Post Timestamp,Date,Weekday Type,Time,Time Periods,Likes,Comments,Shares,Impressions,Reach, Engagement Rate ,Audience Age,Age Group,Audience Gender,Audience Location,Audience Continent,Audience Interests,Campaign ID,Sentiment,Influencer ID
1,Twitter,d38fb961-2499-4488-a127-b6624e63f4dd,Image,Late event guess price.,7/12/2022 8:53,7/12/2022 (Tuesday),Weekday,8:53:49,Morning,2273,1609,1464,3917,4704,42.48,34,Mature Adults,Female,Moldova,Europe,husband,,Neutral,
5,Twitter,f630bfa8-f4e4-489c-916a-79ac27919342,Image,Speech player daughter design.,12/8/2023 12:43,12/8/2023 (Friday),Weekday,12:43:15,Afternoon,2110,1773,1369,3738,2844,87.56,41,Mature Adults,Male,Christmas Island,Oceania,light,1a54902e-36c1-41bb-9933-d60447837809,Neutral,
8,Twitter,bf5f5a98-da85-4379-83d3-60b86ba6ed51,Image,Such pay everyone financial.,5/26/2023 8:10,5/26/2023 (Friday),Weekday,8:10:25,Morning,2156,1543,1398,4692,5830,26.42,40,Mature Adults,Other,Brunei Darussalam,Asia,far,,Mixed,
10,Facebook,fd839329-993f-4902-864e-96d0827fd7c2,Video,Center article improve kid all though trial.,8/21/2021 22:18,8/21/2021 (Saturday),Weekend,22:18:38,Night,1127,1144,1074,3482,2038,56.68,21,Adolescent Adults,Other,Sri Lanka,Asia,adult,,Negative,
11,Facebook,49792d7b-f082-43fb-889c-e718b8887933,Video,Buy state approach decide.,11/29/2023 21:35,11/29/2023 (Wednesday),Weekday,21:35:09,Evening,1692,1144,1041,2560,3097,53.57,64,Senior Adults,Other,Uganda,Africa,account,,Negative,
12,Facebook,1fca60f1-8d6c-4242-b3be-679cf806ea5a,Link,Agree key live cost down step.,9/4/2021 19:19,9/4/2021 (Saturday),Weekend,19:19:24,Evening,1099,677,207,4669,1502,106.22,42,Mature Adults,Female,Andorra,Europe,member,,Mixed,
13,Twitter,2affbbe2-6f9a-47fe-925c-d9f564fcc861,Link,Could skill debate interesting detail office able put.,6/12/2022 19:34,6/12/2022 (Sunday),Weekend,19:34:48,Evening,1058,938,998,4414,4478,8.22,45,Mature Adults,Female,Norfolk Island,Oceania,rate,,Mixed,
14,Twitter,8ad930ca-d9ae-4a5d-856d-8dc1610199e6,Video,Sister morning red maybe.,12/19/2021 5:04,12/19/2021 (Sunday),Weekend,5:04:28,Night,2351,2035,1645,3612,3769,56.75,53,Senior Adults,Male,Tokelau,Oceania,trial,a003844d-b0a3-4cc8-b0ae-06e07d37bfed,Neutral,
15,Facebook,64f5db2f-bf64-4221-85df-164fd29b6562,Video,Film including should public will.,7/16/2022 3:27,7/16/2022 (Saturday),Weekend,3:27:24,Night,1320,1196,1010,4792,4293,24.34,21,Adolescent Adults,Other,Suriname,SouthAmerica,trouble,,Mixed,
17,Facebook,db8a8470-51cc-4b90-aaec-a08d7f806d93,Link,Race group method especially five education a.,11/25/2023 20:07,11/25/2023 (Saturday),Weekend,20:07:11,Evening,965,506,200,4412,2154,54.81,62,Senior Adults,Female,Tajikistan,Asia,another,,Mixed,
18,Facebook,1f187df3-f692-42fb-a542-96e131b192bb,Link,Purpose likely walk know four.,11/4/2022 20:42,11/4/2022 (Friday),Weekday,20:42:55,Evening,902,238,301,2770,2920,30.92,56,Senior Adults,Male,Timor-Leste,Asia,one,10a56673-b54e-4f64-870a-0fbf86323aeb,Mixed,
19,Instagram,cc9ad55a-1fa6-44dd-81e1-e0cdb55c4c9e,Image,Culture knowledge identify customer about poor.,12/22/2022 3:06,12/22/2022 (Thursday),Weekday,3:06:15,Night,1946,1387,1150,4420,2815,81.71,62,Senior Adults,Female,Aruba,NorthAmerica,key,,Positive,
20,Instagram,be52fc94-1618-4f03-932d-fd13c2f19f54,Image,Describe hope if beyond.,11/26/2023 22:52,11/26/2023 (Sunday),Weekend,22:52:57,Night,1684,1458,1185,2672,2732,76.62,21,Adolescent Adults,Female,Morocco,Africa,leg,,Neutral,
21,Facebook,810e8efe-e7b3-4dd9-8ee4-97bd108fb6c2,Link,Economic century professional.,4/14/2022 21:05,4/14/2022 (Thursday),Weekday,21:05:53,Evening,465,411,397,3778,2374,30.96,42,Mature Adults,Male,Israel,Asia,when,,Mixed,
23,Facebook,82a8181e-367c-4154-93e4-d050f6ead889,Link,Store million full life.,9/12/2021 20:33,9/12/2021 (Sunday),Weekend,20:33:53,Evening,501,653,278,4551,1591,59.81,48,Senior Adults,Male,Martinique,NorthAmerica,science,658b9276-89d2-4441-b9d5-c228928e71d4,Mixed,
25,Facebook,9525f62e-b10c-4b0f-aed1-6709ede5ba73,Video,Stay kitchen happy despite.,9/6/2021 14:17,9/6/2021 (Monday),Weekday,14:17:23,Afternoon,1716,1053,1040,3953,3507,42.54,61,Senior Adults,Male,Guam,Oceania,myself,,Negative,
28,Facebook,2455848a-f36d-41d8-85e8-2a7bca221f72,Link,Water she son place move expect think.,9/26/2023 10:47,9/26/2023 (Tuesday),Weekday,10:47:15,Morning,877,318,396,4313,1929,57.32,50,Senior Adults,Male,Cocos (Keeling) Islands,Oceania,individual,2dc557b5-ca3f-4346-8b31-a15bad983935,Neutral,
29,LinkedIn,814daa87-34f9-45cf-8011-903ad1e05885,Image,Them those kid receive feel.,2/6/2023 3:09,2/6/2023 (Monday),Weekday,3:09:02,Night,1478,531,624,4616,3586,36.71,59,Senior Adults,Male,Bhutan,Asia,commercial,,Negative,
32,Instagram,ff6dc843-c082-4fb4-ab80-f461f8f8af17,Image,Local upon property administration bit change career.,2/10/2022 4:01,2/10/2022 (Thursday),Weekday,4:01:59,Night,1180,1059,1050,4254,4793,7.62,37,Mature Adults,Female,Solomon Islands,Oceania,board,81736d5a-9871-42c4-8262-4bed68016cdf,Neutral,
33,Instagram,552bf0f9-58b1-40b2-9e27-9a3e31aa64ca,Link,Exist cause herself campaign attention.,11/12/2021 19:43,11/12/2021 (Friday),Weekday,19:43:49,Evening,1209,818,757,2421,2824,44.24,30,Adolescent Adults,Female,Serbia,Europe,into,d90962e4-effa-47d6-a0ea-abe8b141e37f,Negative,
35,LinkedIn,a6423c68-e2c5-483d-8c4f-c310485eaff1,Link,Collection seat per.,10/2/2022 11:46,10/2/2022 (Sunday),Weekend,11:46:04,Morning,556,131,141,3062,1974,28.18,24,Adolescent Adults,Male,Cyprus,Asia,father,,Positive,
38,LinkedIn,e0d250b8-0150-4164-b7c6-93ae73f36734,Link,Lead daughter dinner collection issue try.,7/10/2021 23:25,7/10/2021 (Saturday),Weekend,23:25:46,Night,241,568,254,3914,3089,25.53,24,Adolescent Adults,Other,Costa Rica,NorthAmerica,guess,,Mixed,
39,Twitter,944a2353-3e22-4627-b3ad-c8fdd50d7442,Video,Throw science same scientist picture.,7/17/2023 19:47,7/17/2023 (Monday),Weekday,19:47:51,Evening,2013,1731,1725,2009,3075,45.36,60,Senior Adults,Other,Hong Kong,Asia,car,,Mixed,
41,Facebook,27b9db39-e058-4e00-9f70-ed3b2bd281d4,Image,Put glass teacher stuff sport white six.,9/14/2022 7:48,9/14/2022 (Wednesday),Weekday,7:48:40,Morning,1146,1078,715,2811,3297,42.23,57,Senior Adults,Female,Guadeloupe,NorthAmerica,movement,,Mixed,40a403f3-b10e-49c1-b928-7b645d558a70
42,LinkedIn,8b70f3fa-ce27-4340-8df7-ae120b05c5f3,Video,Plant because age kind.,4/18/2023 5:31,4/18/2023 (Tuesday),Weekday,5:31:21,Night,886,1001,974,2935,2889,22.07,31,Mature Adults,Female,Vanuatu,Oceania,girl,,Mixed,
43,Facebook,cf2c1fa3-25fc-44c1-9013-6e4a8b5a3902,Image,Hospital part many evidence ten local.,7/15/2022 3:21,7/15/2022 (Friday),Weekday,3:21:49,Night,1525,652,659,4354,1816,85.2,38,Mature Adults,Male,Tunisia,Africa,national,,Neutral,
44,Facebook,0ddbac36-46ab-45a3-bf9b-2025c2995694,Video,Yes remain serious also.,10/21/2023 8:42,10/21/2023 (Saturday),Weekend,8:42:40,Morning,1296,1285,1082,1911,2811,50.39,56,Senior Adults,Other,Morocco,Africa,beat,,Mixed,
45,LinkedIn,3db0f918-baab-422f-a623-824225f54332,Image,Once school ahead who both north expect.,10/31/2022 1:59,10/31/2022 (Monday),Weekday,1:59:17,Night,1261,986,571,2504,2799,57.33,56,Senior Adults,Other,Australia,Oceania,day,6423a89f-c485-4da5-a506-116a7def587d,Mixed,
46,Twitter,2ab5636a-85dd-4566-b7ed-ab7c1ea91487,Link,Within cause decide music himself language cultural.,9/16/2022 16:58,9/16/2022 (Friday),Weekday,16:58:48,Afternoon,1407,1090,1071,4489,3832,29.6,50,Senior Adults,Female,Isle of Man,Europe,style,816d4546-86d6-4554-93e9-a1f870023652,Negative,
47,Twitter,d78c32c7-c8a7-4773-bce5-e2a0dceb359f,Video,Us personal discuss hot water technology.,11/8/2023 19:27,11/8/2023 (Wednesday),Weekday,19:27:33,Evening,2059,2001,1622,2754,2684,81.37,27,Adolescent Adults,Other,Angola,Africa,station,a9163b87-8733-42f6-b4a9-7077d5a2f91d,Mixed,
48,Twitter,a0313fd7-512b-482a-a57c-dffbf1d44b0b,Image,Author them well there name contain garden.,8/12/2021 10:58,8/12/2021 (Thursday),Weekday,10:58:01,Morning,1712,1690,1334,2816,2378,77.55,21,Adolescent Adults,Female,Ghana,Africa,field,,Positive,
49,Facebook,a250af82-5e2e-4620-bd2d-4e8866bc0544,Link,Operation house how when official score.,1/17/2024 13:45,1/17/2024 (Wednesday),Weekday,13:45:45,Afternoon,225,256,370,3448,1621,17.66,62,Senior Adults,Male,Sweden,Europe,successful,,Negative,
50,Facebook,df1021bf-d724-4ac5-8bb5-bc272cbed98f,Image,Question decade speak lot.,1/29/2023 16:09,1/29/2023 (Sunday),Weekend,16:09:53,Afternoon,1001,1081,624,2363,1886,70.45,29,Adolescent Adults,Other,Norfolk Island,Oceania,record,,Neutral,
52,Instagram,01f3fb8e-385d-44fb-95bb-ea10625de579,Link,Under pull garden move.,12/17/2021 21:33,12/17/2021 (Friday),Weekday,21:33:14,Evening,1594,791,700,4020,2368,72.68,50,Senior Adults,Male,Lao People's Democratic Republic,Asia,least,,Mixed,
53,LinkedIn,b52ee22d-a9c4-4c72-a515-5d5578bf5b41,Link,Population community worry nothing walk eat.,10/29/2023 12:11,10/29/2023 (Sunday),Weekend,12:11:13,Afternoon,280,189,149,2770,2279,14.59,26,Adolescent Adults,Male,Bulgaria,Europe,deep,,Negative,
60,Facebook,9e663661-c52a-40b5-805d-f7eb7e8d3174,Image,Wonder avoid sense.,9/16/2022 17:41,9/16/2022 (Friday),Weekday,17:41:03,Afternoon,1452,1008,703,3831,2560,69.54,18,Adolescent Adults,Other,Switzerland,Europe,institution,,Negative,
62,Facebook,fe5b4fd3-83c2-4dac-bb57-10608536e9ba,Link,Himself city item mission add performance.,6/14/2022 18:29,6/14/2022 (Tuesday),Weekday,18:29:03,Evening,1125,618,353,2796,1991,83.53,27,Adolescent Adults,Male,French Polynesia,Oceania,event,,Mixed,
66,Twitter,2f5868b4-4d35-4049-a057-101a91274207,Video,Trouble blood food wait detail never.,4/14/2023 14:55,4/14/2023 (Friday),Weekday,14:55:48,Afternoon,2421,1812,1614,4630,5387,27.65,64,Senior Adults,Male,South Africa,Africa,language,,Neutral,
68,Twitter,81715dc9-d208-46ab-ba80-907829f2e45d,Video,Cold open Mr bed chair teach seek.,11/18/2021 20:28,11/18/2021 (Thursday),Weekday,20:28:05,Evening,2397,1798,1670,4336,4163,41.55,50,Senior Adults,Other,Chile,SouthAmerica,yourself,,Positive,
69,LinkedIn,3abf4573-22c7-409c-baf4-42b2eda30b5e,Video,Story edge difficult less research.,6/23/2022 15:28,6/23/2022 (Thursday),Weekday,15:28:00,Afternoon,979,1168,842,3860,1954,51.04,57,Senior Adults,Male,Spain,Europe,remember,,Mixed,
70,Facebook,6931ac7e-996b-4f9c-b7e9-8bb5cf80019a,Link,Than young among bill front sound.,10/15/2023 10:58,10/15/2023 (Sunday),Weekend,10:58:33,Morning,1121,376,392,2856,2197,64.55,32,Mature Adults,Female,American Samoa,Oceania,lead,,Negative,
72,Facebook,982a05a1-3f38-40bd-b205-b0e89613d2f3,Link,Human often develop state remain husband.,2/5/2024 19:19,2/5/2024 (Monday),Weekday,19:19:29,Evening,828,423,383,4317,2507,44.82,62,Senior Adults,Female,Sierra Leone,Africa,continue,6a556df1-2b33-4f3d-a2da-0a95b17f514f,Mixed,
73,LinkedIn,e792165e-e9e8-4026-b316-2729f5ce7418,Link,Have provide minute send.,2/22/2022 3:34,2/22/2022 (Tuesday),Weekday,3:34:02,Night,140,232,116,3546,2571,7.61,51,Senior Adults,Female,Tajikistan,Asia,military,,Mixed,be319da5-f90e-462f-9021-fbe2140cca9a
74,Instagram,cfc83d88-3362-46ee-8cb0-4b8707deab42,Image,There last sister kitchen learn.,2/29/2024 0:50,2/29/2024 (Thursday),Weekday,0:50:47,Night,1356,1440,1169,4639,3098,46.0,65,Senior Adults,Other,Congo,Africa,each,,Mixed,9b113e90-34c0-4a7b-9541-0092926651b0
75,Facebook,95b98c82-5aa2-4121-834e-a06e81fa17c2,Image,Rate everything toward set wind TV.,3/11/2023 13:58,3/11/2023 (Saturday),Weekend,13:58:00,Afternoon,1485,820,738,4732,3663,40.58,47,Senior Adults,Male,Bouvet Island (Bouvetoya),Antarctica,cause,,Mixed,
76,LinkedIn,d0b524b9-31f0-4e9c-ae80-b66023110ea0,Image,Court minute coach today western idea local.,12/23/2022 21:39,12/23/2022 (Friday),Weekday,21:39:05,Evening,1449,917,646,4398,4365,39.12,54,Senior Adults,Female,Azerbaijan,Asia,big,,Mixed,6cef38a1-c899-4a7b-b78e-968bb2c1eed3
78,LinkedIn,c3281f6d-3780-4995-a229-69a34df9f83f,Video,Nature over open customer its audience.,4/9/2023 18:24,4/9/2023 (Sunday),Weekend,18:24:33,Evening,1391,800,828,1554,2137,46.3,47,Senior Adults,Male,Wallis and Futuna,Oceania,nor,,Negative,
79,Instagram,3467fd88-c34e-43db-a3b0-94661486fe86,Video,Early direction green sell language focus central almost.,8/23/2023 16:54,8/23/2023 (Wednesday),Weekday,16:54:05,Afternoon,2098,1563,1394,4913,5025,31.01,21,Adolescent Adults,Other,Turkmenistan,Asia,high,,Mixed,
82,Instagram,97663489-dcce-4063-9d71-3ee0522c1cae,Link,Guess one design order remember official thing.,9/30/2022 20:25,9/30/2022 (Friday),Weekday,20:25:14,Evening,778,864,747,3796,4198,16.37,19,Adolescent Adults,Female,Mauritania,Africa,senior,,Mixed,
87,Facebook,54522f9f-1604-4ec6-b035-f87b2754f11e,Link,Pressure establish play reason himself.,7/8/2022 23:21,7/8/2022 (Friday),Weekday,23:21:40,Night,806,600,363,4068,1510,89.24,47,Senior Adults,Male,Honduras,NorthAmerica,white,,Mixed,
90,Facebook,0d19af99-7532-4824-9cdd-ca43ee8ac1fb,Video,Wonder group strong believe past open.,12/23/2021 23:51,12/23/2021 (Thursday),Weekday,23:51:36,Night,1656,1096,904,4767,4807,24.47,59,Senior Adults,Female,Andorra,Europe,light,be0c0586-abbb-43dd-9ae2-437fa1701223,Negative,
91,LinkedIn,38f8c286-8ad3-4650-a3b3-6ae64e0ecdb0,Image,Leader moment nearly former six realize.,5/18/2021 6:44,5/18/2021 (Tuesday),Weekday,6:44:54,Morning,798,566,555,3089,1763,33.17,42,Mature Adults,Female,Liberia,Africa,draw,,Positive,
93,LinkedIn,9d66ee2b-9325-438d-a432-ab0e83c6ac07,Image,Where bed reduce rise fear start everybody customer.,8/15/2023 3:39,8/15/2023 (Tuesday),Weekday,3:39:39,Night,651,641,507,2547,2657,13.86,36,Mature Adults,Male,New Caledonia,Oceania,sense,bc2bb703-d198-4f74-b70f-7e4a065af78a,Mixed,
95,Instagram,3ce08a67-07dd-43ff-83a5-b2652a289283,Image,Bad according hard practice tree yeah value enough.,12/15/2021 13:32,12/15/2021 (Wednesday),Weekday,13:32:57,Afternoon,1821,1013,1122,4697,3114,45.22,25,Adolescent Adults,Male,Maldives,Asia,their,,Mixed,
96,Instagram,6a3d9315-67fd-4bd7-8e21-e2c0fa5b3458,Video,Interview may project building risk learn.,7/6/2021 3:21,7/6/2021 (Tuesday),Weekday,3:21:30,Night,1644,1503,1368,3306,2498,51.34,26,Adolescent Adults,Male,Austria,Europe,show,,Neutral,
103,Twitter,7413828a-1789-495e-b467-b4ac06d5869e,Link,Response door indeed find thought.,8/2/2021 0:05,8/2/2021 (Monday),Weekday,0:05:22,Night,1802,1341,1090,4357,3105,69.52,47,Senior Adults,Male,Burundi,Africa,respond,,Mixed,
106,Twitter,f58614ca-1949-4967-bd79-3e330f99f045,Link,Moment simple effect.,8/29/2021 0:18,8/29/2021 (Sunday),Weekend,0:18:30,Night,1636,1187,993,2944,3557,42.0,27,Adolescent Adults,Male,Mayotte,Africa,manage,fcbc7817-9961-4745-a03f-1eac7f929336,Positive,
109,Twitter,a99336c4-7b4c-4be5-b9a9-14b97c0f9a10,Link,Leg involve grow because detail.,5/24/2023 20:54,5/24/2023 (Wednesday),Weekday,20:54:58,Evening,1045,1028,1002,3316,3666,13.56,36,Mature Adults,Male,Dominican Republic,NorthAmerica,your,,Negative,
110,LinkedIn,432da7e3-e36a-4643-9725-52c994fb7f34,Video,Imagine consumer meet body standard.,12/22/2023 10:05,12/22/2023 (Friday),Weekday,10:05:28,Morning,1550,965,978,3813,1826,106.53,27,Adolescent Adults,Female,Mauritius,Africa,organization,,Mixed,
113,Twitter,9a2a2c2c-8e3c-497a-b44d-551a71295aed,Video,Wonder event floor.,10/30/2021 7:58,10/30/2021 (Saturday),Weekend,7:58:20,Morning,2479,1675,1678,2646,3207,64.22,24,Adolescent Adults,Female,Mongolia,Asia,century,,Mixed,
117,LinkedIn,f0adc79f-586f-4f1e-ad35-a45d4fd4b43b,Link,Approach month try stand sort.,6/22/2023 4:54,6/22/2023 (Thursday),Weekday,4:54:48,Night,407,417,100,2902,2602,24.94,23,Adolescent Adults,Other,Kiribati,Oceania,have,,Mixed,225153c3-c905-4f51-bae5-2f4aa13b31c6
